Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -d sgNT_MC38_1/ sgNT_MC38_2/ sgArid1a_MC38_1/ sgArid1a_MC38_2/ -tpm)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_MC38_1/ TPM	sgNT_MC38_2/ TPM	sgArid1a_MC38_1/ TPM	sgArid1a_MC38_2/ TPM
NR_106179	chr11	102230040	102230150	-	110	1	Mir8101|Gm27705|mmu-mir-8101|-|11|11 D|ncRNA	1.307	0	0	1.274
NR_110437	chr3	29891017	29924191	+	1433	1	Mannr|Manr|-|3 A3|3|ncRNA	1.304	1.594	1.272	1.466
NR_045794	chr13	63289154	63297147	-	2761	1	Gm16907|-|-|13 B3|13 32.8 cM|ncRNA	1.302	1.809	1.871	1.674
NM_001177887	chr16	96361757	96404030	+	1879	1	Igsf5|2010003D20Rik|JCAM|Jam4|-|16|16 C4|protein-coding	1.301	1.443	0.809	0.746
NM_177596	chr17	22144359	22165977	-	2652	1	Zfp947|6720451E15|EG210853|Gm4769|-|17 A3.3|17|protein-coding	1.301	1.615	1.432	1.743
NR_040366	chr5	109933563	109941710	+	1548	1	Gm15446|OTTMUSG00000022004|-|5 F|5 53.28 cM|ncRNA	1.3	1.199	2.257	1.719
NM_023440	chr7	4628040	4630482	-	1217	1	Tmem86b|C330014O21Rik|-|7|7 A1|protein-coding	1.299	1.642	3.121	2.647
NM_029408	chr5	120589023	120607113	+	1661	1	Iqcd|4933433C09Rik|AI662646|-|5|5 F|protein-coding	1.298	1.031	0.823	1.012
NM_001166402	chr10	19000910	19011963	-	4327	1	Tnfaip3|A20|Tnfip3|-|10 A3|10 8.08 cM|protein-coding	1.296	1.451	1.159	1.133
NM_010750	chr3	55782510	55785287	+	2775	1	Mab21l1|AW047968|-|3|3 C|protein-coding	1.295	1.595	2.081	1.413
NR_033585	chr17	32950961	32965716	-	1111	1	Cyp4f41-ps|6030422M01Rik|-|17|17 B1|pseudo	1.294	1.927	1.778	2.144
NM_183315	chr8	4257646	4259274	-	1222	1	Ctxn1|BC028881|Ctxn|-|8 A1.1|8 1.99 cM|protein-coding	1.294	1.518	2.86	2.866
NM_172298	chr7	36698118	36773457	+	4998	1	Tshz3|A630038G13Rik|Tsh3|Zfp537|mKIAA1474|teashirt3|-|7|7 B2|protein-coding	1.294	1.057	0.669	1.205
NR_033603	chr10	111500788	111501345	+	557	1	Gm5176|EG382421|-|10|10 D1|pseudo	1.291	1.281	0.818	0.755
NM_029809	chr7	12927416	12931072	+	3235	1	Rnf225|2310014L17Rik|AV237412|C77118|-|7|7 A1|protein-coding	1.289	1.368	1.644	1.516
NM_001033301	chr3	84442196	84480439	-	5916	1	Fhdc1|6330505N24Rik|Gm126|-|3|3 F1|protein-coding	1.288	1.206	1.181	0.971
NM_027976	chr19	55253369	55296628	+	3127	1	Acsl5|1700030F05Rik|ACS2|ACS5|Facl5|-|19|19 D2|protein-coding	1.287	1.187	0.777	1.075
NR_073433	chr5	45668701	45669708	-	1007	1	1600023N17Rik|AV119442|-|5|5 B3|ncRNA	1.285	1.276	0.905	0.974
NM_001100460	chr12	112678840	112682747	+	3474	1	Zbtb42|EG382639|Gm5188|simiRP58|-|12|12 F1|protein-coding	1.283	2.054	2.405	2.621
NR_040556	chr3	70772379	70807291	-	1800	1	Gm6634|EG625901|-|3|3 E2|ncRNA	1.278	0.555	0.506	0.311
NR_027974	chr13	119487257	119488384	-	1127	1	3110070M22Rik|-|-|13|13 D2.3|ncRNA	1.276	1.773	2.292	1.119
NR_027972	chr4	155761192	155763560	+	676	1	Atad3aos|2610204G22Rik|-|4|4 E2|ncRNA	1.276	0.845	0	0.414
NR_045939	chr14	70852933	70873954	+	1353	1	2410012E07Rik|-|-|14|14 D2|ncRNA	1.275	0.527	1.011	1.346
NM_011526	chr9	45929628	45936058	-	1579	1	Tagln|Sm22|Sm22a|Ws310|-|9 A5.2|9 25.36 cM|protein-coding	1.275	0.452	1.251	0.887
NR_028279	chr17	33638095	33645706	+	2264	1	Pram1|AY665714|-|17|17 B1|protein-coding	1.27	0.63	1.342	1.547
NM_001277955	chr7	82259908	82307420	+	1365	1	Sh3gl3|EEN-B2|SH3P13|Sh3d2c|Sh3d2c2|-|7 D3|7 47.15 cM|protein-coding	1.264	2.091	2.783	2.771
NM_008380	chr13	16011851	16031609	+	6371	1	Inhba|-|-|13 A1|13 5.85 cM|protein-coding	1.264	1.456	0.763	0.308
NM_134006	chr10	128913591	128919297	-	1253	1	Rdh5|9-cis|AI987873|RDH4|cRDH|-|10 D3|10 77.19 cM|protein-coding	1.262	0.911	2.425	0.894
NR_106176	chr11	87756841	87756955	-	114	1	Mir142b|Gm27750|mmu-mir-142b|-|11|11 C|ncRNA	1.261	0	1.333	1.229
NM_001289461	chr5	16553901	16619439	+	2625	1	Hgf|C230052L06Rik|HGF/SF|NK1|NK2|SF|SF/HGF|-|5 A3|5 7.07 cM|protein-coding	1.26	0.979	1.447	1.868
NM_001004362	chr10	79064374	79097600	-	4221	1	2610008E11Rik|-|-|10|10 C1|protein-coding	1.26	1.014	1.296	1.56
NM_027103	chr8	116969599	116978943	-	2966	1	1700030J22Rik|-|-|8|8 E1|protein-coding	1.26	0.962	0.871	0.992
NM_001289446	chr2	168634438	168742136	-	3429	1	Atp9a|IIa|-|2|2 H3|protein-coding	1.258	1.29	4.387	5.188
NM_001271705	chr12	85166639	85175982	-	1257	1	Pgf|AI854365|PIGF|Plgf|-|12 D1|12 39.58 cM|protein-coding	1.258	1.249	0.483	0.669
NM_001001986	chr2	153407461	153444479	-	5605	1	Nol4l|4931410H15|8430427H17Rik|AI429157|Gm1636|-|2|2 H1|protein-coding	1.257	1.324	1.382	1.525
NM_001024928	chr7	6286580	6307883	+	3664	1	Zfp667|A830025F02Rik|Mip1|ZNF667|-|7|7 A1|protein-coding	1.256	0.818	1.576	1.606
NM_001033197	chr2	130100394	130103375	+	2979	1	AU015228|-|-|2|2 F1|protein-coding	1.255	1.15	2.142	1.693
NM_011193	chr9	56089976	56128890	+	1834	1	Pstpip1|CD2BP1|def-2|-|9|9 B|protein-coding	1.254	0.934	0.994	0.764
NM_025413	chr3	92750151	92752338	-	918	1	Lce1g|1110058A15Rik|AI604448|-|3|3 F1|protein-coding	1.253	2.177	4.469	3.357
NM_133984	chr9	107327082	107338350	-	2181	1	Hemk1|2310008M14Rik|AW049265|-|9|9 F1|protein-coding	1.252	1.047	0.975	1.285
NR_030670	chr16	20545112	20548556	-	3444	1	Gm15760|ENSMUSG00000075326|OTTMUSG00000026040|-|16|16 A3|pseudo	1.252	1.906	2.118	1.342
NR_040698	chr8	57651753	57663430	+	1494	1	AW046200|-|-|8|8 B2|ncRNA	1.251	2.006	1.424	1.782
NM_001271008	chrX	107792590	107872911	+	2989	1	Fam46d|Gm377|-|X|X D|protein-coding	1.251	1.003	1.474	1.593
NM_008760	chr13	49608071	49624500	+	2531	1	Ogn|3110079A16Rik|OG|OIF|SLRR3A|mimecan|mimican|-|13|13 A5|protein-coding	1.25	0.846	5.943	5.092
NR_033219	chr10	7678971	7681158	-	2187	1	BC020402|-|-|10 A1|10|ncRNA	1.249	1.827	2.015	2.242
NM_080448	chr6	112717972	112947266	-	8862	1	Srgap3|AI452337|Arhgap14|D130026O08Rik|Gbi|MEGAP|WRP|mKIAA0411|-|6|6 E3|protein-coding	1.249	1.401	1.954	2.087
NM_009598	chr11	105975208	105989964	+	3113	1	Ace|AW208573|CD143|-|11 E1|11 68.84 cM|protein-coding	1.247	1.284	1.22	1.44
NM_001099631	chr4	138250411	138260968	+	3128	1	Sh2d5|BC036961|-|4|4 D3|protein-coding	1.241	1.917	1.214	1.567
NM_013545	chr6	124720707	124733154	-	2201	1	Ptpn6|70Z-SHP|Hcph|PTPTY-42|Ptp1C|SH-PTP1|SHP-1|hcp|me|-|6 F2|6 59.17 cM|protein-coding	1.241	1.167	0.897	0.827
NM_009778	chr17	57203967	57228136	-	5096	1	C3|AI255234|ASP|HSE-MSF|Plp|-|17 D|17 29.72 cM|protein-coding	1.241	0.98	0.447	0.825
NR_106186	chr9	110635999	110636115	-	116	1	Mir8107|Gm27455|mmu-mir-8107|-|9|9 F2|ncRNA	1.239	0	0	0
NR_130171	chr13	102760255	102761896	+	815	1	1700099I09Rik|-|-|13|13 D1|ncRNA	1.235	0.701	1.491	0.688
NM_025451	chr4	138455148	138460126	+	3609	1	Camk2n1|1810006K23Rik|AI848599|AI891706|-|4|4 D3|protein-coding	1.235	1.107	1.263	0.97
NM_207267	chrX	136954988	136976874	-	815	1	Tmsb15l|4930488E11Rik|Tb15r|Tmsb15b1-Tmsb15b2|Tmsb15r|-|X|X F1|protein-coding	1.235	1.576	2.796	4.469
NR_036602	chr4	33027139	33031323	-	3848	1	4933421O10Rik|-|-|4 14.61 cM|4 A5|ncRNA	1.233	1.187	1.342	0.983
NR_136901	chr12	87149475	87155485	-	1167	1	Gm6566|EG625237|-|12|12 D2|ncRNA	1.232	0.978	1.432	1.561
NR_003292	chrX	94791285	94798289	-	7004	1	Zxda|4933406P09Rik|AW413531|-|X|X C3|pseudo	1.232	1.141	1.236	1.04
NM_001079869	chr11	96323126	96347930	+	3384	1	Hoxb3|Hox-2.7|-|11 D|11 59.84 cM|protein-coding	1.232	0.97	1.392	1.366
NM_022409	chr7	19577287	19580656	+	1525	1	Zfp296|2210018A16Rik|Znf296|-|7|7 A3|protein-coding	1.226	1.404	1.395	1.837
NM_001302347	chr7	100996568	101011998	-	2816	1	P2ry2|P2U1|P2Y2|-|7|7 E2|protein-coding	1.225	1.064	0.647	0.696
NM_011023	chr11	21994764	22001651	-	2818	1	Otx1|A730044F23Rik|jv|-|11 A3.2|11 14.1 cM|protein-coding	1.224	1.469	0.917	1.442
NR_040432	chr5	144277061	144280514	+	1763	1	Gm15708|OTTMUSG00000025583|-|5 G2|5 83.27 cM|ncRNA	1.223	1.457	1.551	1.192
NM_001163246	chr13	67589439	67609707	-	4829	1	Zfp729b|AA987127|-|13|13 B3|protein-coding	1.221	0.798	1.51	1.712
NM_018816	chr17	35128997	35131752	-	707	1	Apom|1190010O19Rik|G3a|NG20|-|17|17 B1|protein-coding	1.22	1.211	0.645	0.991
NM_001166497	chr17	21650611	21664966	+	4359	1	Zfp983|3110052M02Rik|mszf57|mszf71|-|17|17 A3.2|protein-coding	1.22	1.048	0.941	0.803
NR_040577	chr4	11966574	11994295	+	1061	1	1700123M08Rik|1600025K15Rik|-|4|4 A1|ncRNA	1.219	0.807	0.716	0.924
NR_136919	chr2	104556658	104557719	+	1061	1	Gm13884|OTTMUSG00000014950|-|2|2 E2|pseudo	1.219	1.48	1.002	1.452
NM_146254	chr4	103038065	103114299	-	3774	1	Wdr78|BC028975|-|4|4 C6|protein-coding	1.219	1.172	1.329	1.225
NR_026944	chr10	77257773	77259223	-	709	1	Gm10941|ENSMUSG00000078444|-|10 C1|10|ncRNA	1.217	0.805	0.643	1.185
NM_001039371	chr3	101855771	101924453	-	6624	1	Slc22a15|2610034P21Rik|4930477M19|A530052I06Rik|BB219042|-|3|3 F2.2|protein-coding	1.215	0.819	0.986	1.1
NR_004444	chr14	55073091	55075874	+	2485	1	Zfhx2os|Zfhx2as|-|14|14 C3|ncRNA	1.215	1.379	1.529	2.029
NM_007421	chr12	112620047	112641355	+	1776	1	Adssl1|AI528595|Adss|Adss1|-|12|12 F1|protein-coding	1.214	1.206	1.027	0.158
NR_015471	chr13	107022570	107033518	+	1894	1	3830408C21Rik|-|-|13|13 D2.1|ncRNA	1.214	1.055	1.524	2.145
NM_010390	chr17	35320558	35325099	+	2014	1	H2-Q1|H-2Q1|Q1|Q1b|Q1d|Q1k|Qa-1|Qa1|Qed-1|-|17 B1|17 18.63 cM|protein-coding	1.213	1.205	1.207	1.878
NM_001025163	chr7	6363308	6382605	+	4744	1	Zfp78|A330079D15|KRAB12|Zfp77|-|7 A1|7 3.69 cM|protein-coding	1.212	1.264	0.705	1.122
NR_033340	chr12	110591374	110592679	+	1305	1	B930059L03Rik|-|-|12|12 F1|ncRNA	1.212	1.312	1.281	1.181
NM_001271419	chr15	74994877	74998031	-	950	1	Ly6a|Ly-6A.2|Ly-6A/E|Ly-6E.1|Sca-1|Sca1|TAP|-|15 D3|15 34.29 cM|protein-coding	1.211	1.202	0.64	0.737
NM_001034864	chrX	23892763	23907550	+	1306	1	Gm4907|EG236749|-|X A2|X|protein-coding	1.211	1.093	0.814	1.394
NM_146137	chr3	108186289	108192286	+	5582	1	Amigo1|Amigo|ali2|-|3|3 F2.3|protein-coding	1.21	1.611	1.388	1.38
NM_027840	chr8	88626828	88636128	-	1428	1	Snx20|9130017C17Rik|-|8|8 C3|protein-coding	1.208	1.299	1.809	2.158
NM_001163136	chr12	119443410	119466932	+	3810	1	Macc1|4732474O15Rik|Gm267|-|12|12 F2|protein-coding	1.207	0.899	0.319	0.257
NM_025829	chr6	99625137	99666771	-	2504	1	Eif4e3|1300018P11Rik|AI451927|eIF4E-3|-|6|6 D3|protein-coding	1.206	0.969	1.396	1.399
NM_001081230	chr3	82358072	82395268	+	6202	1	Map9|5033421J10Rik|5330427D05Rik|ASAP|Mtap9|-|3|3 E3|protein-coding	1.205	1.427	2.131	1.604
NM_001100187	chr17	32621319	32636184	+	2627	1	Cyp4f37|Gm9705|-|17 B1|17|protein-coding	1.204	0.815	0.405	0.373
NM_146008	chr10	84576947	84614355	+	2388	1	Tcp11l2|E430026E19Rik|-|10|10 C1|protein-coding	1.204	0.897	1.272	1.232
NR_045445	chr17	43588340	43591509	-	956	1	1700071M16Rik|-|-|17|17 B3|ncRNA	1.203	0.896	1.112	0.586
NM_175687	chr9	20868642	20874307	+	1673	1	A230050P20Rik|RyDEN|-|9|9 A3|protein-coding	1.203	1.28	1.362	1.256
NM_145489	chr17	47436639	47470638	+	5025	1	AI661453|-|-|17|17 C|protein-coding	1.202	1.193	0.756	0.781
NM_177922	chr15	75993769	75999153	+	1914	1	Mapk15|BC048082|-|15|15 D3|protein-coding	1.202	1.193	1.508	1.976
NM_183097	chr8	84001706	84004770	+	1076	1	1700067K01Rik|-|-|8|8 C2|protein-coding	1.202	1.857	2.259	2.213
NM_027022	chr8	104281042	104293181	-	1077	1	Cmtm2a|1700001K04Rik|1700041N15Rik|1700063K20Rik|AI449770|ARR19|C32|CKLF3|CKLF4|CKLF5|Cklf|Cklf1|Cklfsf2-1b|Cklfsf2a|UCK-1|-|8|8 D3|protein-coding	1.201	1.458	1.552	0.78
NR_046214	chr7	42816827	42867234	-	4071	1	Gm2381|-|-|7 B3|7|pseudo	1.201	0.877	1.194	1.101
NM_001347433	chr6	121343076	121365773	+	2275	1	Slc6a12|BGT1|GAT-2|GAT2|Gabt2|-|6|6 F1|protein-coding	1.201	1.255	1.202	1.047
NM_029428	chr8	119612747	119616926	+	1916	1	Adad2|4930403J07Rik|-|8|8 E1|protein-coding	1.201	2.98	6.106	5.63
NM_001267622	chr5	110879803	111289779	+	10662	1	Ttc28|2310015L07Rik|6030435N04|AI428795|AI851761|BC002262|TPRBK|-|5|5 F|protein-coding	1.2	0.977	1.04	1.156
NM_001033492	chrX	86250256	86256219	-	2396	1	Mageb4|CN716893|Mage-b4|mMage-b4|-|X|X C1|protein-coding	1.2	0.596	1.078	0.935
NM_146125	chr2	119742337	119751253	+	1799	1	Itpka|-|-|2|2 E5|protein-coding	1.199	1.904	2.28	2.258
NR_033168	chr12	111540946	111541066	+	120	1	Snora28|MBI-13|-|12 F1|12 61.03 cM|snoRNA	1.198	0	1.266	1.167
NM_001024672	chr15	100353200	100384435	+	1443	1	Methig1|Mettl7a2-Higd1c|Mettl7a2Higd1c|Mettl7a2higd1c|UbiE-YGHL1|-|15|15 F1|protein-coding	1.196	0.89	1.263	1.845
NM_001130458	chr11	3917080	3932078	-	2046	1	Tcn2|AW208754|Tcn-2|-|11 A1|11 2.76 cM|protein-coding	1.195	0.558	1.262	1.232
NM_007867	chr11	95140447	95145801	-	1815	1	Dlx4|Dlx-4|Dlx7|-|11 D|11 59.01 cM|protein-coding	1.188	0.944	0.921	1.003
NM_010575	chr11	102453297	102469883	-	3405	1	Itga2b|AI172977|CD41|CD41B|GpIIb|alphaIIb|-|11 D|11 66.29 cM|protein-coding	1.182	1.258	1.785	1.522
NM_001204983	chr10	53278081	53379851	-	2676	1	Cep85l|ENSMUSG00000038594|Gm9766|-|10 B3|10|protein-coding	1.182	1.92	2.385	1.832
NM_001081651	chr4	132302194	132303356	-	731	1	Rab42|9530096D07Rik|Rab42-ps|-|4|4 D2.3|protein-coding	1.18	0.781	0.624	1.916
NM_001162896	chr1	160044380	160078586	+	4029	1	4930523C07Rik|-|-|1|1 H1|protein-coding	1.178	1.134	0.264	0.139
NR_102323	chr13	24937401	24939049	+	1466	1	9330162012Rik|-|-|13|13 A3.1|ncRNA	1.177	1.947	1.762	1.816
NM_001243117	chr9	124291804	124312694	-	2689	1	2010315B03Rik|BC029716|-|9|9 F4|protein-coding	1.176	0.69	0.904	0.99
NM_001291042	chr11	67025154	67035312	+	1589	1	Tmem220|-|-|11|11 B3|protein-coding	1.176	1.078	2.199	1.322
NM_001081044	chr2	152911352	152923065	+	2934	1	Mylk2|9830004H17Rik|BB138278|-|2|2 H1|protein-coding	1.176	0.778	3.987	4.44
NM_001082412	chrX	136981116	137038302	-	3182	1	Slc25a53|2310046F18Rik|2810402A17Rik|AI448995|AI841128|Mcart6|-|X|X F1|protein-coding	1.175	1.166	1.241	1.937
NM_175666	chr3	96269700	96270192	+	490	1	Hist2h2bb|H2b-616|-|3|3 F2.1|protein-coding	1.174	0.874	1.24	1.144
NM_001173506	chr2	121295454	121310832	+	11531	1	Map1a|6330416M19Rik|AI853608|Mtap-1|Mtap1|Mtap1a|moth1|-|2 E5|2 60.37 cM|protein-coding	1.172	1.077	1.133	1.191
NM_181315	chrX	163976822	164028010	-	3439	1	Car5b|7330410H16Rik|CAVB|Ca5b|CarVb|D730005F19Rik|-|X|X F5|protein-coding	1.171	0.83	0.663	0.652
NM_020295	chr5	29229802	29378390	-	4913	1	Lmbr1|1110048D14Rik|AU017641|-|5 B1|5 14.81 cM|protein-coding	1.17	1.017	0.99	1.312
NR_110583	chr8	26082609	26096520	+	615	1	1700047A11Rik|4930554C15Rik|-|8|8 A2|ncRNA	1.169	0.928	1.976	1.367
NM_007498	chr1	191170297	191183333	-	1970	1	Atf3|LRG-21|-|1 H6|1 96.28 cM|protein-coding	1.168	1.666	0.925	0.711
NM_029385	chr9	105129338	105131805	-	1601	1	Nudt16|2310041H06Rik|2810047L04Rik|2900006H04Rik|AI851783|-|9|9 F1|protein-coding	1.167	1.159	1.423	1.4
NR_045708	chr11	3309000	3320722	+	863	1	Gm11944|OTTMUSG00000005017|-|11|11 A1|ncRNA	1.166	0.496	0.528	1.461
NM_181345	chr14	70647302	70653084	-	986	1	Npm2|-|-|14|14 D2|protein-coding	1.166	0.869	0.616	0.426
NR_102315	chr5	22550413	22558171	+	4321	1	6030443J06Rik|1700030G06Rik|-|5|5 A3|ncRNA	1.164	0.628	1.09	0.778
NM_024291	chr9	102506138	102546239	+	5436	1	Ky|CD1|D9Mgc44e|ky|-|9 F1|9 54.54 cM|protein-coding	1.164	1.103	0.699	1.134
NM_001220499	chr4	156127488	156133422	+	4569	1	Rnf223|9930005F22Rik|-|4|4 E2|protein-coding	1.164	1.624	1.696	1.625
NR_045676	chr7	29134933	29153955	+	4576	1	Rasgrp4|-|-|7 16.94 cM|7 B1|protein-coding	1.162	1.31	1.494	1.316
NM_177746	chrX	100402222	100412587	-	1609	1	Awat2|9430062J17Rik|ARAT|Dgat2l4|WS|-|X|X C3|protein-coding	1.162	1.065	1.133	1.306
NM_001347531	chr5	144983727	145008051	-	2104	1	Kpna7|AW146299|Gm1055|-|5|5 G2|protein-coding	1.162	2.171	1.95	1.864
NR_033637	chr3	95427349	95431085	+	1116	1	Gm4349|-|-|3 F2.1|3|pseudo	1.159	0.384	0.408	1.381
NM_001135198	chr9	108403633	108428482	-	2857	1	Ccdc36|-|-|9|9 F2|protein-coding	1.157	1.299	1.808	2.108
NM_001162977	chr4	154170713	154275721	+	6837	1	Megf6|2600001P17Rik|Egfl3|-|4|4 E2|protein-coding	1.157	1.044	1.622	1.824
NR_045645	chr19	43675178	43677170	+	1992	1	BC037704|-|-|19|19 C3|ncRNA	1.155	0.931	0.61	1.266
NM_001177392	chr2	29761528	29764089	+	623	1	Gm13547|OTTMUSG00000012686|-|2 B|2|protein-coding	1.154	1.375	0.975	2.249
NM_011465	chr1	174172776	174248449	+	8351	1	Spta1|AF093576|AI451697|Spna-1|Spna1|ha|ihj|nmf4|sph|-|1 H3|1 80.97 cM|protein-coding	1.153	1.316	0.837	0.738
NM_013550	chr13	23761885	23762386	-	499	1	Hist1h3a|-|-|13|13 A3.1|protein-coding	1.152	0.572	1.522	0.842
NM_145077	chr9	108986163	108987164	+	999	1	Ucn2|Ucn II|Ucn-2|ucn-II|-|9|9 F2|protein-coding	1.151	2.572	0.913	1.122
NM_008409	chrX	107397195	107403360	-	1624	1	Itm2a|AW108051|Bricd2a|E25|Itm2|-|X|X D|protein-coding	1.151	1.406	1.965	1.294
NM_030176	chr8	123232258	123236209	-	2375	1	Spata2l|2610039E05Rik|AI648233|mKIAA4138|-|8|8 E1|protein-coding	1.15	1.202	1.279	1.062
NR_027872	chr5	114773733	114774983	-	1250	1	4930515G01Rik|-|-|5|5 F|ncRNA	1.15	1.142	2.188	1.457
NM_172607	chr15	75890964	75894481	-	1875	1	Naprt|9130210N20Rik|Naprt1|-|15|15 D3|protein-coding	1.15	1.142	1.134	0.971
NM_026094	chr10	80519585	80539124	-	4381	1	Atp8b3|1700042F02Rik|1700056N23Rik|ATPIK|SAPLT|-|10|10 C1|protein-coding	1.149	1.336	0.763	0.991
NM_001164820	chr2	151999866	152009258	+	2131	1	Slc52a3|2310046K01Rik|RFT2|-|2|2 G3|protein-coding	1.147	0.603	0.642	0.592
NR_002870	chr1	162217623	162225550	+	7927	1	Dnm3os|6030416H16Rik|Hag2|Npn1|P/L01|-|1|1 H2.1|ncRNA	1.143	1.278	1.648	1.149
NR_028305	chr17	6610103	6620925	-	4036	1	Tmem181c-ps|100040596|ENSMUSG00000079729|ENSMUSG00000079731|Tmem181d-ps|-|17 A1|17|pseudo	1.14	1.698	1.167	1.527
NM_001008232	chr4	136206365	136246573	+	5555	1	Asap3|9430088F20Rik|Ddefl1|Gm140|UPLC1|-|4|4 D3|protein-coding	1.139	1.953	1.477	1.917
NR_038158	chrX	13042015	13045295	+	884	1	5730405O15Rik|-|-|X|X A1.1|ncRNA	1.138	0.969	0.516	2.219
NM_198119	chr15	76715276	76722173	-	1896	1	Lrrc24|6430402H13Rik|-|15|15 D3|protein-coding	1.137	1.656	1.442	1.625
NR_033499	chr5	5573799	5576203	+	1266	1	Gm8773|EG667705|Gm29287|-|5|5 A1|ncRNA	1.136	0.451	1.32	1.881
NM_001177713	chr6	84571414	84593908	-	4691	1	Cyp26b1|CP26|P450RAI-2|-|6|6 C3|protein-coding	1.134	0.791	5.895	5.077
NM_001289563	chr16	13940629	13949619	+	3046	1	Mpv17l|M-LP|-|16|16 A1|protein-coding	1.133	0.984	1.496	1.426
NM_010836	chr7	140046157	140049088	-	2283	1	Msx3|AI323377|-|7 F4|7 85.04 cM|protein-coding	1.133	1.5	1.996	1.166
NM_024406	chr3	10204343	10208576	-	635	1	Fabp4|422/aP2|ALBP/Ap2|Ap2|Lbpl|-|3 A1|3 2.56 cM|protein-coding	1.132	1.798	1.914	2.427
NR_028078	chr11	97781639	97781766	-	127	1	Snora21|MBI-3|-|11|11 D|snoRNA	1.132	2.248	0	1.103
NM_001199236	chr7	27356383	27396553	-	4703	1	Sptbn4|1700022P15Rik|5830426A08Rik|ROSA62|SpbIV|Spnb4|dyn|lnd|nmf261|nmf379|qv|-|7 A3|7 15.88 cM|protein-coding	1.131	1.032	1.777	1.4
NR_028329	chr11	85235166	85238304	+	636	1	Appbp2os|D630032N06Rik|-|11|11 C|ncRNA	1.13	0.673	0.956	1.101
NM_011659	chr4	156013695	156016589	+	1146	1	Tnfrsf4|ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1|-|4 E2|4 87.68 cM|protein-coding	1.129	1.37	1.458	1.467
NM_001242345	chr6	142413431	142419740	+	1528	1	Spx|B230216G23Rik|Npq|-|6|6 G2|protein-coding	1.129	0.654	0.895	1.65
NR_033514	chr12	80120546	80132844	-	4842	1	2310015A10Rik|5330419I17Rik|-|12|12 C3|ncRNA	1.128	1.474	1.726	1.418
NR_040375	chr16	87496073	87504038	+	1403	1	B130034C11Rik|-|-|16 C3.3|16|ncRNA	1.127	0.509	0.758	0.399
NM_001033284	chr1	157458582	157488733	+	1277	1	BC026585|-|-|1|1 H1|protein-coding	1.126	1.006	2.261	2.962
NR_027452	chr17	25274124	25275528	+	1404	1	Gm17801|-|-|17|17 A3.3|ncRNA	1.126	2.338	1.731	1.497
NM_027649	chr17	45448937	45474938	-	1150	1	Spats1|1700011H05Rik|4933400B06Rik|Daip2|Ddip|Srsp1|-|17|17 B3|protein-coding	1.125	2.11	2.114	2.558
NM_001085390	chr19	53529318	53541322	+	1150	1	Dusp5|Gm337|-|19|19 D2|protein-coding	1.125	1.862	1.321	0.975
NM_009602	chr3	89753448	89764632	-	5376	1	Chrnb2|Acrb-2|Acrb2|C030030P04Rik|[b]2-nAchR|-|3 F1|3 39.19 cM|protein-coding	1.123	1.035	0.904	0.808
NM_021287	chr19	4711223	4752352	+	8196	1	Sptbn2|Spnb3|mKIAA0302|-|19 A|19 4.1 cM|protein-coding	1.123	1.254	2.132	2.068
NM_009749	chrX	136066565	136068236	-	897	1	Bex2|AL024066|Bex1|-|X F1|X 57.37 cM|protein-coding	1.122	1.75	1.694	2.343
NR_028266	chr15	4020111	4027406	-	4620	1	BC037032|-|-|15 A1|15|ncRNA	1.12	0.958	1.085	0.849
NR_045751	chr12	108536402	108555618	-	1541	1	Gm16596|-|-|12 F1|12 59.46 cM|ncRNA	1.12	1.667	0.394	0.455
NR_033305	chr17	33981492	33985358	+	3866	1	AA388235|-|-|17|17 B1|ncRNA	1.116	1.108	1.14	1.812
NM_007539	chr12	105604091	105605511	+	1418	1	Bdkrb1|B1BKR|B1R|BKR1|BRADYB1|Bdkrb|-|12|12 E|protein-coding	1.115	0.604	1.286	0.692
NM_026486	chr5	124598749	124627738	+	2712	1	Tctn2|4432405B04Rik|Tect2|-|5|5 F|protein-coding	1.113	1.316	1.905	1.55
NM_001081328	chr18	59175340	59411336	+	3877	1	Chsy3|4833446K15Rik|AI662215|-|18|18 D3|protein-coding	1.112	1.399	0.941	1.265
NM_019414	chr3	94693573	94704406	+	1681	1	Selenbp2|AP56|Lpsb2|-|3 F2.1|3 40.74 cM|protein-coding	1.112	1.104	0.904	1.083
NM_181820	chr7	3665754	3677553	-	2329	1	Tmc4|-|-|7|7 A1|protein-coding	1.111	1.716	1.174	0.902
NM_139305	chr4	43507026	43513725	+	1946	1	Car9|CAIX|Ca9|MN/CA9|-|4|4 A5|protein-coding	1.108	1.32	1.561	1.08
NM_001045524	chr9	8076633	8134294	-	3634	1	Cep126|Kiaa1377|mKIAA1377|-|9|9 A1|protein-coding	1.108	1.1	1.505	1.542
NR_073361	chr9	95855418	95857517	-	390	1	1700065D16Rik|-|-|9|9 E3.3|protein-coding	1.106	0.366	0.779	0
NM_175515	chr3	40540767	40704774	+	6369	1	Intu|9230116I04Rik|9430087H23Rik|Pdzd6|Pdzk6|mKIAA1284|-|3|3 B|protein-coding	1.106	0.919	1.217	1.122
