Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -raw -d sgNT_rep1_S65/ sgNT_rep2_S66/ sgArid1a_rep1_S67/ sgArid1a_rep2_S68) (cmd=getDiffExpression.pl sgArid1a_nostim_raw.txt -edgeR -simpleNorm -dispersion 0.05 sgNT sgNT sgARID1A sgARID1A -export diff -log2fold .585)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_rep1_S65/ (28413949.0 total)	sgNT_rep2_S66/ (31159073.0 total)	sgArid1a_rep1_S67/ (29840911.0 total)	sgArid1a_rep2_S68 (27904258.0 total)	sgARID1A vs. sgNT Log2 Fold Change	sgARID1A vs. sgNT p-value	sgARID1A vs. sgNT adj. p-value
NM_019689	chr9	57790505	57834234	-	3781.0	1	Arid3b|Bdp|Dri2|-|9|9 B|protein-coding	123.68	145.52	143.11	141.75	0.0879095379530593	0.523357566141045	1
NM_027926	chr6	30568369	30592417	+	2725.0	1	Cpa4|1110019K20Rik|AV009555|-|6|6 A3.3|protein-coding	0.00	2.82	0.00	0.00	-3.67604904337201	0.252551236657478	1
NM_053214	chr17	33555707	33607764	+	3803.0	1	Myo1f|C330006B10Rik|-|17 B1|17 17.98 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001015507	chr9	106821976	106880992	+	5367.0	1	Vprbp|AI447437|B930007L02Rik|mKIAA0800|-|9|9 F1|protein-coding	2523.40	2439.97	2422.03	2520.98	0.0050921949630059	0.921056010245879	1
NM_175434	chr8	126298579	126395977	+	2774.0	1	Slc35f3|B230375D17Rik|-|8|8 E2|protein-coding	1.04	0.94	4.90	6.30	2.36925307851642	0.0247279044019365	0.413536810234857
NR_045819	chr4	124569179	124575538	+	1870.0	1	4933407E24Rik|-|-|4|4 D2.2|ncRNA	3.12	0.00	0.00	0.00	-3.67890010475173	0.252551236657478	1
NR_040467	chr1	95990659	96021758	-	353.0	1	1700063A18Rik|-|-|1|1 D|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_145450	chr12	112808975	112816245	+	1908.0	1	BC022687|AW050009|C130001I08Rik|Flj20080|-|12 F1|12 61.2 cM|protein-coding	271.25	284.46	315.62	301.34	0.161217495165971	0.107039389542236	0.838042597701927
NR_015480	chr7	45366163	45367948	+	683.0	1	Mtag2|MAG|-|7|7 B3|ncRNA	2.08	2.82	4.90	3.15	0.700346328458554	0.587720481835911	1
NM_001081114	chr7	30291753	30308367	+	3284.0	1	Clip3|1500005P14Rik|AI844915|Clipr-59|-|7|7 B1|protein-coding	1.04	2.82	3.92	0.00	0.0469987913963393	1	1
NM_008104	chr13	41101427	41109988	-	2872.0	1	Gcm2|Gcm-rs1|Gcm1|Gcm1-rs2|-|13|13 A3.3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_177411	chr10	128677183	128696268	-	3168.0	1	Rab5b|C030027M18Rik|-|10|10 D3|protein-coding	1214.93	1113.43	1190.92	1237.91	0.0730006972593339	0.231742935520312	1
NM_029663	chr15	75894796	75909344	-	2844.0	1	Eef1d|EF-1-delta|-|15|15 D3|protein-coding	7411.18	7584.66	7326.85	7247.94	-0.0302455013562562	0.462276884572022	1
NM_183161	chr2	180725339	180742278	+	2182.0	1	Slc17a9|1700019H03Rik|BC019537|Vnut|-|2|2 H4|protein-coding	12.47	18.78	17.64	23.10	0.37142664244072	0.310435313059916	1
NM_010372	chr14	56129568	56132593	-	930.0	1	Gzmd|CCP5|Ctla-5|Ctla5|-|14 C3|14 28.19 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_106029	chr7	139986809	139986874	-	65.0	1	Mir7062|Gm27339|mmu-mir-7062|-|7|7 F4|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_011037	chr19	44757394	44837869	+	3015.0	1	Pax2|Opdc|Pax-2|-|19 C3|19 38.09 cM|protein-coding	1.04	0.00	0.00	1.05	0.040142386966713	1	1
NM_013621	chr7	103767277	103771594	-	1352.0	1	Olfr69|3'[b]3|3'beta3|MOR22-2|-|7|7 E3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001310428	chr1	93168423	93231066	+	7394.0	1	Crocc2|E030010N08Rik|Gm976|-|1|1 D|protein-coding	4.16	5.63	3.92	5.25	-0.0982000708656427	1	1
NM_001277100	chr19	53142756	53247326	+	4494.0	1	Add3|AI463285|R75380|-|19 D2|19 47.18 cM|protein-coding	1390.57	1505.85	1483.01	1478.36	0.0415903232902542	0.456504400419377	1
NR_045341	chr10	41568016	41576476	+	613.0	1	5730435O14Rik|-|-|10|10 B2|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_138746	chr13	34739642	34747622	+	1311.0	1	Fam50b|D0H6S2654E|X5L|XAP-5-like|-|13|13 A3.3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001286155	chr13	23353103	23369208	-	5190.0	1	Zfp322a|Znf322|Znf322a|-|13|13 A3.1|protein-coding	853.26	862.77	822.37	831.58	-0.0426403245197861	0.51979953966755	1
NM_001145827	chr4	126103957	126141029	+	3846.0	1	Stk40|2310004N11Rik|AI428792|-|4|4 D2.2|protein-coding	990.44	937.87	1000.76	1051.02	0.100899589168744	0.10845230536331	0.841852014140949
NM_153407	chr15	100479570	100495239	-	4119.0	1	Csrnp2|CSRNP-2|Csnrp2|taip-12|-|15|15 F1|protein-coding	1104.77	1123.76	1004.68	1040.52	-0.113732810213096	0.060677149686002	0.652711627288659
NM_016682	chr7	34140697	34168529	-	2505.0	1	Uba2|AA986091|Arx|Sae2|UBA1|Ubl1a2|Uble1b|-|7|7 B1|protein-coding	6690.95	6868.35	6507.42	6412.16	-0.0588904448657057	0.156079147631403	0.969999081792861
NM_010749	chr6	122309010	122317677	+	2213.0	1	M6pr|CD-MPR|Mpr46|-|6 F1|6 57.52 cM|protein-coding	6312.65	6452.46	6837.74	6716.65	0.0974212253172936	0.0185894347301389	0.352393445754024
NM_011227	chr8	11453977	11478499	-	719.0	1	Rab20|AA536966|D8Ertd350e|-|8 A1.1|8 5.73 cM|protein-coding	171.48	171.80	131.34	169.05	-0.186282961729967	0.17631836998902	1
NM_013582	chr17	88741549	88791976	-	2540.0	1	Lhcgr|Gpcr19-rs1|LH-R|Lhr|-|17 E4|17 58.35 cM|protein-coding	0.00	0.00	0.00	3.15	3.72491647258618	0.252551236657478	1
NM_009522	chr11	59248042	59290751	-	2745.0	1	Wnt3a|Wnt-3a|vt|-|11 B1.3|11 37.17 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_144549	chr15	59648654	59657099	+	4021.0	1	Trib1|A530090O15Rik|TRB-1|Trb1|-|15|15 D1|protein-coding	461.44	495.69	470.49	480.89	0.000125260314196493	1	1
NM_027613	chr6	60944317	60989378	+	4626.0	1	Mmrn1|4921530G03Rik|Emilin4|Mmrn|-|6 B3|6 29.22 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_033595	chr2	50909684	50911846	+	2162.0	1	Gm13498|OTTMUSG00000012426|-|2|2 C1.1|pseudo	76.91	119.23	103.90	100.80	0.0617788852255812	0.737740706941791	1
NM_001293727	chr3	94760070	94786515	-	4991.0	1	Cgn|6330408J11Rik|-|3 F2.1|3 40.74 cM|protein-coding	153.81	168.05	144.09	127.05	-0.2363271060631	0.0822996021140163	0.741771122883877
NM_146508	chr9	39572322	39573257	-	934.0	1	Olfr959|M34|MOR224-3|ORL583|-|9|9 A5.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_178210	chr13	21735034	21735456	+	420.0	1	Hist1h4j|-|-|13|13 A3.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001013616	chr7	104218795	104235152	+	3817.0	1	Trim6|C430046K18Rik|D7Ertd684e|-|7 E3|7 55.55 cM|protein-coding	4.16	5.63	3.92	4.20	-0.263581758077955	0.818547796242742	1
NR_102298	chr3	132842202	132878596	-	1664.0	1	Gm29811|-|-|3 G3|3|ncRNA	0.00	1.88	0.00	1.05	-0.804206850206689	1	1
NM_198600	chr13	69497959	69533864	-	3982.0	1	Papd7|LAK-1|POLK|Pols|TRF4|TRF4-1|-|13 B3|13 35.55 cM|protein-coding	1691.96	1755.58	1628.08	1651.60	-0.0618628414495462	0.244409123885532	1
NR_028271	chr9	13431361	13432740	+	1379.0	1	Phxr4|Sp5|-|9|9 A1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NR_045265	chr4	40269579	40270221	+	323.0	1	Toporsos|2010003O02Rik|-|4 20.24 cM|4 A5|ncRNA	54.04	40.37	64.69	46.20	0.257493695992567	0.319600526985355	1
NR_040726	chr9	64038465	64041465	-	352.0	1	1700055C04Rik|-|-|9|9 C|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_026445	chr5	129846990	129863951	+	2150.0	1	Sumf2|2610040F05Rik|-|5|5 G1.3|protein-coding	1196.22	1242.05	1242.87	1186.47	0.00551923119979898	0.931869860327433	1
NM_001281499	chr3	92788845	92790514	-	694.0	1	Lce1j|Sprrl8|-|3|3 F1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_049188	chr1	135454603	135454683	-	80.0	1	Mir1231|Gm23720|mir-1231|mmu-mir-1231|-|1|1 E4|ncRNA	10.39	4.69	3.92	5.25	-0.673915724183853	0.324738045072162	1
NM_001042489	chr5	122209729	122242297	+	2780.0	1	Hvcn1|0610039P13Rik|AI450555|BTS|HV1|Vsop.|mVSOP|-|5|5 F|protein-coding	4376.45	4312.90	4208.89	4200.93	-0.0360641272207835	0.401830837559428	1
NM_134203	chr7	11756257	11757168	+	910.0	1	Vmn1r73|V1rg2|-|7|7 A1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001126317	chrX	67682900	67693562	-	772.5	2	Gm1140|-|-|X|X A7.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_175500	chr14	115092215	116525192	+	2875.0	1	Gpc5|A230034F01Rik|-|14|14 E4|protein-coding	1.04	0.94	0.00	1.05	-0.805163255951552	1	1
NM_183173	chr11	53476578	53480195	-	3615.0	1	Sowaha|A830006N08Rik|Ankrd43|-|11|11 B1.3|protein-coding	1.04	1.88	0.00	1.05	-1.33436620837977	0.627538307004792	1
NM_134157	chr6	83743017	83758810	+	1911.0	1	Atp6v1b1|AW208839|Atp6b1|D630003L15|D630030L16Rik|D630039P21Rik|Vpp-3|Vpp3|-|6 C3|6 35.94 cM|protein-coding	1.04	1.88	2.94	4.20	1.20578292594281	0.350615939966767	1
NM_024288	chr6	71388634	71440637	-	6154.0	1	Rmnd5a|1110007A06Rik|AJ237586|AW125795|Gid2|MTA.D02.090|-|6|6 C1|protein-coding	2378.94	2384.58	2153.46	2278.43	-0.0937588606518697	0.0578734620388265	0.639888328981165
NM_026257	chr4	134102583	134126780	+	1560.0	1	Ubxn11|4930506L07Rik|D4Bwg1540e|Soc|Soci|Ubxd5|-|4 D3|4 66.5 cM|protein-coding	7.28	12.20	11.76	21.00	0.724711635217865	0.0883254640206124	0.763837931000698
NM_133750	chr15	85037062	85062830	+	2534.0	1	Fam118a|-|-|15|15 E2|protein-coding	614.22	577.37	582.23	521.83	-0.0960811814609082	0.216326128660727	1
NM_177324	chr7	110308013	110614920	-	7120.0	1	Sbf2|4833411B01Rik|AA414977|AI317167|B430219L04Rik|Mtmr13|mMTMH1|-|7|7 E3|protein-coding	2694.88	2501.93	2371.06	2501.03	-0.0816852577927669	0.102043203069417	0.818781580678317
NM_001014398	chr9	57236556	57249864	+	2686.0	1	Trcg1|-|-|9|9 B|protein-coding	2.08	0.00	0.00	0.00	-3.14875286697099	0.501700824438317	1
NM_029898	chr13	112288451	112384002	+	2768.0	1	Ankrd55|C030011J08Rik|-|13|13 D2.2|protein-coding	0.00	0.00	0.00	2.10	3.19320911774238	0.501700824438317	1
NR_038039	chr10	66120609	66124064	-	342.0	1	1700023F02Rik|AV205046|-|10|10 B5.1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_001039392	chr6	72957347	72958232	-	622.0	1	Tmsb10|Ptmb10|Tb10|-|6|6 C1|protein-coding	4623.80	4727.86	5608.59	5088.15	0.205126283489089	1.0907045975744e-05	0.000904142524009563
NR_110517	chr9	71168776	71208122	+	2061.0	1	Gm32511|-|-|9 D|9|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_008176	chr5	90891245	90893115	+	943.0	1	Cxcl1|Fsp|Gro1|KC|Mgsa|N51|Scyb1|gro|-|5 E1|5 44.78 cM|protein-coding	20.79	2.82	6.86	4.20	-1.02067063769792	0.111278474220458	0.853255793001445
NM_146208	chr8	53586867	53639065	-	2241.0	1	Neil3|AI449477|BC034753|C85903|-|8|8 B1.3|protein-coding	597.59	629.94	610.65	595.33	-0.0154477458043021	0.851310610663817	1
NM_001039560	chr2	172450313	172458596	-	2214.0	1	Gcnt7|A330041C17Rik|gnt|-|2|2 H3|protein-coding	3.12	2.82	0.00	1.05	-2.27742039062671	0.128935242543919	0.893365151455697
NM_175122	chrX	75572045	75578231	-	3398.0	1	Rab39b|6330580M05Rik|-|X 38.26 cM|X A7.3|protein-coding	232.80	235.64	233.28	238.34	0.0199320568747976	0.865376369056276	1
NM_010271	chr15	99717593	99725007	+	2775.0	1	Gpd1|AI747587|Gdc-1|Gdc1|mKIAA4010|-|15 F1|15 56.13 cM|protein-coding	1547.50	1698.31	1451.65	1416.41	-0.168731537479456	0.00298408295255081	0.109402313471486
NM_007636	chr10	117050998	117063814	-	1944.0	1	Cct2|Cctb|-|10|10 D2|protein-coding	15449.05	15844.33	14754.66	15653.99	-0.0306638086022027	0.46345945799489	1
NM_028890	chr14	54583663	54605908	-	2576.0	1	4931414P19Rik|-|-|14|14 C2|protein-coding	235.92	274.13	249.95	233.09	-0.070154237735686	0.559296772248079	1
NM_001270456	chr5	95305923	95343575	+	2292.0	1	Gm3259|-|-|5 E3|5|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001347144	chr10	81105915	81124697	+	2389.0	1	Map2k2|AA589381|MEK2|MK2|Prkmk2|-|10 C1|10 39.72 cM|protein-coding	4914.80	5161.59	5055.77	5018.85	0.0103034473553374	0.811118075739483	1
NM_001109902	chr5	118190736	118245025	-	4333.0	1	Rnft2|AW049082|B830028P19Rik|Tmem118|-|5|5 F|protein-coding	123.68	104.21	135.26	129.15	0.231123953944758	0.126989853809902	0.891288078320421
NM_001347366	chr10	20397052	20548328	-	5049.0	1	Pde7b|-|-|10|10 A3|protein-coding	17.67	14.08	13.72	13.65	-0.193693324654842	0.615922384831331	1
NM_138750	chr2	127526953	127541417	-	4240.0	1	Prom2|AI507243|Prom-rp|-|2|2 F1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_027452	chr17	25274124	25275528	+	1404.0	1	Gm17801|-|-|17|17 A3.3|ncRNA	29.10	25.35	22.54	39.90	0.200279345039595	0.54791715811817	1
NM_008314	chr5	27841947	27855086	+	5572.0	1	Htr5a|Htr5|-|5 B1|5 13.24 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_010136	chr9	118478189	118486132	+	3707.0	1	Eomes|C77258|TBR-2|Tbr2|-|9 70.21 cM|9 F3|protein-coding	104.97	92.94	90.18	121.80	0.107618323091062	0.548203753520949	1
NM_009875	chr6	134920401	134925525	+	2400.0	1	Cdkn1b|AA408329|AI843786|Kip1|p27|p27Kip1|-|6 G1|6 65.77 cM|protein-coding	1878.00	1874.81	1997.61	1854.25	0.0493109872726209	0.351370926886022	1
NM_027563	chr11	100037348	100041554	-	1599.0	1	Krt34|4733401E01Rik|Ha2|K34|Krt1-4|-|11 D|11 63.38 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_198634	chr19	5891138	5894107	-	2111.0	1	Tigd3|-|-|19|19 A|protein-coding	11.43	8.45	7.84	14.70	0.186239420850439	0.884343054101366	1
NM_001346422	chr9	124348840	124356974	+	2093.0	1	Nlrp4g|nalp4g|-|9|9 F4|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001081143	chr5	17962570	18019668	+	1165.0	1	Gnat3|Ggust|Gtn|-|5|5 A3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001270503	chr14	25887934	25902971	-	992.0	3	Plac9b|ENSMUSG00000072674|Gm10393|-|14 A3|14|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_040373	chr3	153850374	153852424	-	493.0	1	Asb17os|2510003D18Rik|-|3|3 H3|ncRNA	2.08	0.94	1.96	0.00	-0.486043165418107	0.999999999999999	1
NM_011892	chr14	61219115	61258490	-	3505.0	1	Sgcg|35kDa|5430420E18Rik|AI642964|gamma-SG|-|14|14 D1|protein-coding	338.81	332.34	375.41	360.14	0.144278248240126	0.123633386494607	0.886756037538198
NM_024266	chr9	44407714	44410406	+	677.0	1	Rps25|2810009D21Rik|-|9|9 A5.2|protein-coding	215.13	178.37	181.33	198.44	-0.0369994468556518	0.784097619077815	1
NM_146736	chr7	108316896	108317828	+	931.0	1	Olfr491|MOR204-11|-|7|7 E3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_028455	chr15	84720052	84772207	+	1525.0	1	Arhgap8|3110043J09Rik|-|15|15 E2|protein-coding	2.08	1.88	4.90	7.35	1.57614163366315	0.0829778531728732	0.744434216929722
NM_010879	chr1	43445751	43570518	+	2768.0	1	Nck2|4833426I10Rik|Grb4|NCKbeta|Nck-2|-|1|1 C1.1|protein-coding	654.75	623.37	585.17	595.33	-0.102831261935144	0.163992831334247	0.99061843979528
NM_177921	chrX	140062879	140106797	+	1500.0	1	Pih1h3b|E230019M04Rik|-|X|X F1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_144544	chr11	58608206	58613492	-	871.0	1	2210407C18Rik|Ep1|-|11|11 B1.3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_027858	chr11	71242430	71285232	-	3444.0	1	Nlrp1c-ps|Nalp1c|Nlrp1c|OTTMUSG00000006090|-|11|11 B4|pseudo	0.00	0.00	0.00	0.00	0	1	1
NM_001204820	chr11	120646031	120648337	-	1106.0	1	Myadml2|1110012N22Rik|-|11|11 E2|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001081330	chr11	69420809	69549108	-	13616.0	1	Dnah2|2900022L05Rik|4930564A01|D130094J20|D330014H01Rik|Dnahc2|Dnhd3|-|11 B3|11 42.63 cM|protein-coding	25.98	11.27	17.64	7.35	-0.520497111630625	0.208953245194832	1
NM_001013767	chr17	45630204	45659309	-	2551.0	1	Capn11|-|-|17|17 B3|protein-coding	1.04	0.00	0.00	1.05	0.040142386966713	1	1
NM_145502	chr19	44034943	44069686	-	3320.0	1	Erlin1|2810439N09Rik|C80197|Keo4|Spfh1|-|19|19 C3|protein-coding	1040.33	967.92	989.98	911.37	-0.0655004763115696	0.306108563177412	1
NM_001048196	chr11	99627229	99628239	-	1008.0	1	Krtap4-1|A030010K20Rik|-|11|11 D|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_026007	chr19	8967041	8978180	+	1553.0	1	Eef1g|2610301D06Rik|AA407312|EF1G|-|19|19 A|protein-coding	3684.28	3654.80	3562.96	3492.20	-0.0457257483769947	0.300327584758751	1
NM_001142969	chr6	132625111	132627511	-	479.0	1	A630073D07Rik|Gm1688|-|6|6 G1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_146573	chr2	85647363	85648319	-	955.0	1	Olfr1002|MOR175-2|-|2|2 D|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_177859	chr3	108739658	108782309	+	2589.0	1	Aknad1|4921525H12Rik|-|3|3 F3|protein-coding	0.00	0.94	1.96	0.00	0.890379447598607	1	1
NR_105836	chr10	76008926	76009017	+	91.0	1	Mir6409|Gm27787|mmu-mir-6409|-|10|10 C1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_026577	chr16	62793673	62847040	-	3528.0	1	Arl13b|A530097K21Rik|A930014M17Rik|Arl2l1|C530009C10Rik|hnn|-|16|16 C1.3|protein-coding	560.18	504.14	463.63	451.49	-0.204112659748347	0.0128504220823276	0.287758843310728
NM_001252292	chr6	30738053	30748466	+	2651.0	1	Mest|AA408879|AI256745|Peg1|-|6 A3.3|6 12.53 cM|protein-coding	4156.12	4179.59	3878.57	4167.33	-0.0406456947628201	0.373307634671072	1
NM_153535	chr8	45336715	45382291	-	5463.0	1	Fam149a|AW213256|mKIAA4166|-|8|8 B1.1|protein-coding	1643.12	1684.23	1679.05	1739.80	0.0492364711920843	0.347950854169417	1
NM_207216	chr15	9279829	9315036	+	2239.0	1	Ugt3a1|AI746432|-|15|15 A1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_146691	chr19	13364630	13365556	+	925.0	1	Olfr1467|MOR202-15|-|19|19 A|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_007822	chr4	115486200	115496141	-	2481.0	1	Cyp4a14|AI314743|-|4 D1|4 53.04 cM|protein-coding	0.00	0.00	0.98	1.05	3.19255766247712	0.501700824438317	1
NM_146674	chr10	130126108	130127055	-	946.0	1	Olfr824|MOR210-3|-|10|10 D3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_008664	chr8	15057653	15133419	+	4914.0	1	Myom2|AW146149|-|8|8 A1.1|protein-coding	2.08	1.88	1.96	2.10	0.0473790582694961	1	1
NM_173874	chr8	60910389	60983311	-	5765.0	1	Clcn3|Clc3|-|8 B3.1|8 30.9 cM|protein-coding	1767.83	1557.49	1684.93	1521.41	-0.0389904049727272	0.509166937372854	1
NM_001242945	chr14	4430992	4519452	+	514.0	2	Gm3264|-|-|14 A1|14|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_011993	chr7	139086001	139101791	+	2623.0	1	Dpysl4|AI173505|CRMP-3|Crmp3|DPY4|Drp-4|Ulip4|-|7|7 F4|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_015459	chr3	107888850	107896213	-	5404.0	1	4933431E20Rik|-|-|3|3 F2.3|ncRNA	885.48	932.24	838.05	780.13	-0.156808341343088	0.0182588365220804	0.350345898568919
NM_178196	chr13	23571400	23571863	+	461.0	1	Hist1h2bg|-|-|13|13 A3.1|protein-coding	7.28	9.39	0.98	1.05	-2.89065269663465	0.00094157592262995	0.045479229160573
NR_026741	chrX	7375925	7378042	+	1876.0	1	Gm14379|OTTMUSG00000016482|-|X|X A1.1|ncRNA	4.16	3.76	12.74	5.25	1.19230387948502	0.0887083623842191	0.765612763918953
NM_146829	chr9	39128167	39145070	+	1035.0	1	Olfr27|MOR171-6|MTPCR56|-|9|9 A5.1|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001205311	chr8	94329208	94366221	+	3272.0	1	Slc12a3|AI035291|NCC|NCCT|TSC|-|8 C5|8 46.46 cM|protein-coding	6.24	0.94	0.00	1.05	-2.4941722852135	0.0748980089464235	0.707090695064583
NR_028126	chr4	3714964	3716806	+	1842.0	1	6330407A03Rik|-|-|4|4 A1|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NR_105031	chr4	59260051	59269144	+	1276.0	1	Gm12596|OTTMUSG00000007649|-|4 B3|4 32.47 cM|ncRNA	4.16	4.69	1.96	2.10	-1.07353815618144	0.274944366057269	1
NM_001040111	chr7	101348069	101412586	+	5801.0	1	Arap1|2410002L19Rik|Centd2|mKIAA0782|-|7|7 E2|protein-coding	1379.14	1456.10	1483.01	1403.81	0.0366416555789565	0.519287092512269	1
NR_029880	chr12	109709060	109709125	+	65.0	1	Mir379|Mirn379|mir-379|mmu-mir-379|-|12 F1|12|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_022563	chr1	169972307	170088944	-	8271.0	1	Ddr2|AW495251|Ntrkr3|tyro10|-|1 H3|1 76.84 cM|protein-coding	7110.83	6583.89	8605.98	8293.71	0.314969772012468	6.39594036257141e-13	9.80857429227591e-11
NM_001037166	chr10	88729541	88731101	-	1558.0	1	Gm4925|EG237433|-|10|10 C1|protein-coding	0.00	0.94	0.00	0.00	-2.3015270447825	0.999999999999998	1
NM_007527	chr7	45461695	45466898	-	861.0	1	Bax|-|-|7 B3|7 29.32 cM|protein-coding	6733.56	6960.35	7089.65	6501.41	0.000234954281144319	0.998914839997603	1
NM_001034060	chr1	74125541	74148223	+	2292.0	1	Rufy4|F930048N03Rik|-|1|1 C3|protein-coding	1.04	0.94	0.00	1.05	-0.805163255951552	1	1
NM_001254731	chr5	113265674	113310786	-	2301.0	1	Sgsm1|2410098H20Rik|AA408781|D5Bwg1524e|E130107M15|NuIP|Rutbc2|-|5 F|5 55.45 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NR_105960	chr19	11923728	11923800	+	72.0	1	Mir6994|mmu-mir-6994|-|19|19 A|ncRNA	0.00	0.00	0.00	0.00	0	1	1
NM_008856	chr12	73584796	73778184	+	3529.0	1	Prkch|Pkch|-|12|12 C3|protein-coding	16.63	25.35	18.62	16.80	-0.243788001923623	0.589359629216089	1
NM_028158	chr2	173522592	173528502	+	635.0	1	1700021F07Rik|-|-|2|2 H3|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001085492	chr4	150281916	150621966	+	7433.0	1	Rere|1110033A15Rik|AI414665|ARG|ARP|ATN1L|AW742570|Atr2|DNB1|eye<m03Jus>|eyes3|mKIAA0458|-|4 E2|4 81.34 cM|protein-coding	4027.25	3910.15	3907.00	4572.62	0.105727722754211	0.0447134768869794	0.570868439932709
NM_023434	chr14	52279146	52295509	+	4446.0	1	Tox4|5730589K01Rik|A630040M18|AA410149|LCP1|-|14|14 C2|protein-coding	1878.00	1876.69	2329.89	2294.18	0.311550996230715	2.62933295097495e-10	3.60424260436159e-08
NM_053156	chr12	28553756	28582483	-	1445.0	1	Allc|1700012B22Rik|Alc|-|12 A2|12 10.97 cM|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_001002896	chr9	103424924	103480328	-	1561.0	1	Bfsp2|AI448593|CP49|-|9|9 F1|protein-coding	2716.71	2669.98	2862.13	2682.67	0.0534529967482237	0.270821711307351	1
NM_001127354	chr11	99602646	99603308	-	660.0	1	Gm11938|-|-|11|11 D|protein-coding	0.00	0.00	0.00	0.00	0	1	1
NM_027144	chr9	42963842	43105718	-	10440.0	1	Arhgef12|2310014B11Rik|AU019857|Larg|mKIAA0382|-|9|9 A5.1|protein-coding	6626.52	6177.38	6191.80	6274.62	-0.0271451329597123	0.52914074656863	1
NM_001139504	chr2	26348118	26352110	-	2918.0	1	Dnlz|1110034G11Rik|D2Bwg1335e|HEP1|-|2 A3|2 18.87 cM|protein-coding	1138.02	1152.86	1237.97	1207.46	0.105169953738403	0.0718238784708537	0.695478494885295
NM_172693	chr4	47091953	47123042	+	2204.0	1	Galnt12|9130206E10|A630062B03Rik|-|4|4 B1|protein-coding	620.46	653.41	701.81	656.23	0.10304745734026	0.158807133255308	0.977103895690422
NM_001301307	chr9	65676548	65690300	+	1834.0	1	Oaz2|AZ-2|AZ2|Oaz2-ps|Sez15|-|9|9 C|protein-coding	841.83	766.07	802.77	762.28	-0.0253504712856701	0.708017421814891	1
NM_013859	chr19	6061207	6062468	+	1259.0	1	Znhit2|C11orf5|Fon|ORF6|Znhit2-ps|-|19|19 A|protein-coding	553.94	563.29	618.49	591.13	0.125844578400296	0.0966258576782886	0.800441819666498
NR_103799	chrX	93156221	93156871	+	506.0	2	1700003E24Rik|ENSMUSG00000067646|Gm14779|OTTMUSG00000017966|-|X|X C3|pseudo	0.00	0.00	0.00	0.00	0	1	1
NM_010340	chrX	71663667	71669257	+	3065.0	1	Gpr50|H9|-|X A7.3|X 36.98 cM|protein-coding	0.00	0.94	0.98	0.00	0.0404498335274733	1	1
